Transcript	Group	CPM	Type
ENST00000455590	M202	0.0	Annotated
ENST00000455590	M207	0.0	Annotated
ENST00000455590	M230	0.0	Annotated
ENST00000455590	M249	0.0	Annotated
ENST00000455590	M262	0.0	Annotated
ENST00000455590	M285	0.0	Annotated
ENST00000455590	M311	0.0	Annotated
ENST00000455590	M368	0.0	Annotated
ENST00000455590	M403	0.0	Annotated
ENST00000455590	M412	0.0	Annotated
ENST00000455590	M412B	0.0	Annotated
ENST00000455590	M417	0.0	Annotated
ENST00000455590	PB	0.0	Annotated
ENST00000455590	SKMEL173	0.0	Annotated
ENST00000455590	SKMEL176	0.0	Annotated
ENST00000455590	M229	0.0	Annotated
ENST00000455590	M263	0.0	Annotated
ENST00000455590	M297	0.0	Annotated
ENST00000455590	M308	0.0	Annotated
ENST00000455590	M375	0.0	Annotated
ENST00000455590	M376	0.0	Annotated
ENST00000455590	M383	0.0	Annotated
ENST00000455590	M395	0.0	Annotated
ENST00000455590	M397	0.0	Annotated
ENST00000455590	M398	0.0	Annotated
ENST00000455590	M399	0.0	Annotated
ENST00000455590	M233	0.0	Annotated
ENST00000455590	M238	0.0	Annotated
ENST00000455590	M243	0.0	Annotated
ENST00000455590	M245	0.0	Annotated
ENST00000455590	M255	0.0	Annotated
ENST00000455590	M299	0.0	Annotated
ENST00000455590	M370	0.0	Annotated
ENST00000455590	M409	0.0	Annotated
ENST00000455590	M411	0.0	Annotated
ENST00000455590	M418	0.0	Annotated
ENST00000455590	M420	0.0	Annotated
ENST00000455590	M423	0.0	Annotated
ENST00000455590	M492	0.0	Annotated
ENST00000455590	SBCL2	0.0	Annotated
ENST00000455590	M244	0.0	Annotated
ENST00000455590	M257	0.0	Annotated
ENST00000455590	M296	0.0	Annotated
ENST00000455590	M318	0.0	Annotated
ENST00000455590	M381	0.0	Annotated
ENST00000455590	M406	0.0	Annotated
ENST00000455590	M407	0.0	Annotated
ENST00000455590	M410	0.0	Annotated
ENST00000455590	WM1366	0.0	Annotated
ENST00000455590	Melanocyte_EHMa	0.0	Annotated
ENST00000455590	Melanocyte_HEMa	0.0	Annotated
ENST00000455590	Melanocyte_PEMa	0.0	Annotated
ENST00000455590	Bladder	0.0	Annotated
ENST00000455590	Blood	0.0	Annotated
ENST00000455590	Brain	0.0	Annotated
ENST00000455590	Brain_Caudate_Nucleus	0.0	Annotated
ENST00000455590	Brain_Cerebellum	0.0	Annotated
ENST00000455590	Brain_Cerebral_Cortex	0.0	Annotated
ENST00000455590	Brain_Corpus_Callosum	0.0	Annotated
ENST00000455590	Brain_Frontal_Lobe	0.0	Annotated
ENST00000455590	Brain_Hippocampus	0.0	Annotated
ENST00000455590	Brain_Medulla_Oblongata	0.0	Annotated
ENST00000455590	Brain_Pons	0.0	Annotated
ENST00000455590	Brain_Spinal_Cord	0.0	Annotated
ENST00000455590	Brain_Temporal_Lobe	0.0	Annotated
ENST00000455590	Brain_Thalamus	0.0	Annotated
ENST00000455590	Colon	0.0	Annotated
ENST00000455590	Heart	0.0	Annotated
ENST00000455590	Kidney	0.0	Annotated
ENST00000455590	Liver	0.0	Annotated
ENST00000455590	Lung	0.0	Annotated
ENST00000455590	Ovary	0.0	Annotated
ENST00000455590	Pancreas	0.0	Annotated
ENST00000455590	Prostate	0.0	Annotated
ENST00000455590	Skeletal_Muscle	0.0	Annotated
ENST00000455590	Small_Intestine	0.0	Annotated
ENST00000455590	Spleen	0.0	Annotated
ENST00000455590	Stomach	0.0	Annotated
ENST00000455590	Testis	0.0	Annotated
ENST00000455590	Thyroid	0.0	Annotated
ENST00000474853	M202	0.0	Annotated
ENST00000474853	M207	0.0	Annotated
ENST00000474853	M230	0.0	Annotated
ENST00000474853	M249	0.0	Annotated
ENST00000474853	M262	0.0	Annotated
ENST00000474853	M285	0.0	Annotated
ENST00000474853	M311	0.0	Annotated
ENST00000474853	M368	0.0	Annotated
ENST00000474853	M403	0.0	Annotated
ENST00000474853	M412	0.0	Annotated
ENST00000474853	M412B	0.0	Annotated
ENST00000474853	M417	0.0	Annotated
ENST00000474853	PB	0.0	Annotated
ENST00000474853	SKMEL173	0.0	Annotated
ENST00000474853	SKMEL176	0.0	Annotated
ENST00000474853	M229	0.0	Annotated
ENST00000474853	M263	0.0	Annotated
ENST00000474853	M297	0.0	Annotated
ENST00000474853	M308	0.0	Annotated
ENST00000474853	M375	0.0	Annotated
ENST00000474853	M376	0.0	Annotated
ENST00000474853	M383	0.0	Annotated
ENST00000474853	M395	0.0	Annotated
ENST00000474853	M397	0.0	Annotated
ENST00000474853	M398	0.0	Annotated
ENST00000474853	M399	0.0	Annotated
ENST00000474853	M233	0.0	Annotated
ENST00000474853	M238	0.0	Annotated
ENST00000474853	M243	0.0	Annotated
ENST00000474853	M245	0.0	Annotated
ENST00000474853	M255	0.0	Annotated
ENST00000474853	M299	0.0	Annotated
ENST00000474853	M370	0.0	Annotated
ENST00000474853	M409	0.0	Annotated
ENST00000474853	M411	0.0	Annotated
ENST00000474853	M418	0.0	Annotated
ENST00000474853	M420	0.0	Annotated
ENST00000474853	M423	0.0	Annotated
ENST00000474853	M492	0.0	Annotated
ENST00000474853	SBCL2	0.0	Annotated
ENST00000474853	M244	0.0	Annotated
ENST00000474853	M257	0.0	Annotated
ENST00000474853	M296	0.0	Annotated
ENST00000474853	M318	0.0	Annotated
ENST00000474853	M381	0.0	Annotated
ENST00000474853	M406	0.0	Annotated
ENST00000474853	M407	0.0	Annotated
ENST00000474853	M410	0.0	Annotated
ENST00000474853	WM1366	0.0	Annotated
ENST00000474853	Melanocyte_EHMa	0.0	Annotated
ENST00000474853	Melanocyte_HEMa	0.0	Annotated
ENST00000474853	Melanocyte_PEMa	0.0	Annotated
ENST00000474853	Bladder	0.0	Annotated
ENST00000474853	Blood	0.0	Annotated
ENST00000474853	Brain	0.0	Annotated
ENST00000474853	Brain_Caudate_Nucleus	0.0	Annotated
ENST00000474853	Brain_Cerebellum	5.293917786092077	Annotated
ENST00000474853	Brain_Cerebral_Cortex	3.0610141856274233	Annotated
ENST00000474853	Brain_Corpus_Callosum	0.0	Annotated
ENST00000474853	Brain_Frontal_Lobe	0.0	Annotated
ENST00000474853	Brain_Hippocampus	0.0	Annotated
ENST00000474853	Brain_Medulla_Oblongata	0.0	Annotated
ENST00000474853	Brain_Pons	0.0	Annotated
ENST00000474853	Brain_Spinal_Cord	0.0	Annotated
ENST00000474853	Brain_Temporal_Lobe	0.0	Annotated
ENST00000474853	Brain_Thalamus	0.0	Annotated
ENST00000474853	Colon	0.0	Annotated
ENST00000474853	Heart	0.0	Annotated
ENST00000474853	Kidney	0.0	Annotated
ENST00000474853	Liver	0.0	Annotated
ENST00000474853	Lung	0.0	Annotated
ENST00000474853	Ovary	0.0	Annotated
ENST00000474853	Pancreas	0.0	Annotated
ENST00000474853	Prostate	0.0	Annotated
ENST00000474853	Skeletal_Muscle	0.0	Annotated
ENST00000474853	Small_Intestine	0.0	Annotated
ENST00000474853	Spleen	0.0	Annotated
ENST00000474853	Stomach	0.0	Annotated
ENST00000474853	Testis	0.0	Annotated
ENST00000474853	Thyroid	0.0	Annotated
ENST00000458029	M202	0.0	Annotated
ENST00000458029	M207	0.0	Annotated
ENST00000458029	M230	0.0	Annotated
ENST00000458029	M249	0.0	Annotated
ENST00000458029	M262	0.0	Annotated
ENST00000458029	M285	0.0	Annotated
ENST00000458029	M311	0.0	Annotated
ENST00000458029	M368	0.0	Annotated
ENST00000458029	M403	0.0	Annotated
ENST00000458029	M412	0.0	Annotated
ENST00000458029	M412B	0.0	Annotated
ENST00000458029	M417	0.0	Annotated
ENST00000458029	PB	0.0	Annotated
ENST00000458029	SKMEL173	0.0	Annotated
ENST00000458029	SKMEL176	0.0	Annotated
ENST00000458029	M229	0.0	Annotated
ENST00000458029	M263	0.0	Annotated
ENST00000458029	M297	0.0	Annotated
ENST00000458029	M308	0.0	Annotated
ENST00000458029	M375	0.0	Annotated
ENST00000458029	M376	0.0	Annotated
ENST00000458029	M383	0.0	Annotated
ENST00000458029	M395	0.0	Annotated
ENST00000458029	M397	0.0	Annotated
ENST00000458029	M398	0.0	Annotated
ENST00000458029	M399	0.0	Annotated
ENST00000458029	M233	0.0	Annotated
ENST00000458029	M238	0.0	Annotated
ENST00000458029	M243	0.0	Annotated
ENST00000458029	M245	0.0	Annotated
ENST00000458029	M255	0.0	Annotated
ENST00000458029	M299	0.0	Annotated
ENST00000458029	M370	0.0	Annotated
ENST00000458029	M409	0.0	Annotated
ENST00000458029	M411	0.0	Annotated
ENST00000458029	M418	0.0	Annotated
ENST00000458029	M420	0.0	Annotated
ENST00000458029	M423	0.0	Annotated
