Uni_ID	Other_Uni_ID	Name	Topology	TM_domain	Subcellular_location	Subcellular_topology	Tag
P31946	A8K9K2;E1P616	1433B_HUMAN			Cytoplasm;Melanosome;Vacuole membrane		Membrane_protein
Q00005	A6NEJ2;A8K102;B3KPD0;B7Z2F2;B7Z304;D3DQF7;D3DQF8;G3V149	2ABB_HUMAN			Cytoplasm;Cytoskeleton;Membrane;Mitochondrion;Mitochondrion outer membrane		Membrane_protein
Q9H2F3	Q96M28;Q9BSN9	3BHS7_HUMAN		289-309;311-331	Endoplasmic reticulum membrane	Multi-pass membrane protein	Membrane_protein
P14060	A8K691;Q14545;Q8IV65	3BHS1_HUMAN		288-308	Endoplasmic reticulum membrane;Mitochondrion membrane	Single-pass membrane protein	Membrane_protein
O60239	B3KQW6;Q5JWV9	3BP5_HUMAN			Cytoplasmic vesicle membrane;Mitochondrion	Peripheral membrane protein	Membrane_protein
P30153	Q13773;Q6ICQ3;Q96DH3	2AAA_HUMAN			Cytoplasm;Nucleus;Chromosome;Centromere;Lateral cell membrane;Cell projection;Dendrite		Cell_surface:Other
P26439	A2RRA5;Q16010;Q53GD4;Q6AI10;Q6LDB9;Q99890;Q9UD08	3BHS2_HUMAN		287-307	Endoplasmic reticulum membrane;Mitochondrion membrane	Single-pass membrane protein	Membrane_protein
P08195	Q13543	4F2_HUMAN	Cytoplasmic:102-184;Extracellular:206-630	185-205	Apical cell membrane;Cell membrane;Cell junction;Lysosome membrane;Melanosome	Single-pass type II membrane protein	Cell_surface:TM
P28566	E1P503;Q9P1Y1	5HT1E_HUMAN	Extracellular:1-22;Cytoplasmic:48-59;Extracellular:83-96;Cytoplasmic:119-138;Extracellular:160-179;Cytoplasmic:203-291;Extracellular:315-324;Cytoplasmic:348-365	23-47;60-82;97-118;139-159;180-202;292-314;325-347	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
O95264	B0YJ23;Q0VJC3	5HT3B_HUMAN	Extracellular:22-238;Cytoplasmic:260-268;Extracellular:287-303;Cytoplasmic:325-414;Extracellular:436-441	239-259;269-286;304-324;415-435	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
P30939		5HT1F_HUMAN	Extracellular:1-29;Cytoplasmic:51-60;Extracellular:84-97;Cytoplasmic:119-140;Extracellular:162-178;Cytoplasmic:202-290;Extracellular:312-329;Cytoplasmic:351-366	30-50;61-83;98-118;141-161;179-201;291-311;330-350	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
P28222	Q4VAY7	5HT1B_HUMAN	Extracellular:1-49;Cytoplasmic:76-84;Extracellular:111-123;Cytoplasmic:146-165;Extracellular:188-205;Cytoplasmic:229-315;Extracellular:337-349;Cytoplasmic:372-390	50-75;85-110;124-145;166-187;206-228;316-336;350-371	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
P34969	B5BUP6;P78336;P78372;P78516;Q5VX01;Q5VX02;Q5VX03	5HT7R_HUMAN	Extracellular:1-83;Cytoplasmic:105-117;Extracellular:139-157;Cytoplasmic:179-201;Extracellular:223-236;Cytoplasmic:258-325;Extracellular:347-367;Cytoplasmic:389-479	84-104;118-138;158-178;202-222;237-257;326-346;368-388	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q8WXA8	A2RRR5	5HT3C_HUMAN	Extracellular:28-248;Cytoplasmic:270-282;Extracellular:304-306;Cytoplasmic:330-424;Extracellular:446-447	249-269;283-303;307-329;425-445	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
Q70Z44	C9J2I6;J3QT78;Q495N5;Q495N6;Q7Z6B3	5HT3D_HUMAN	Extracellular:25-232;Cytoplasmic:254-264;Extracellular:286-306;Cytoplasmic:328-431;Extracellular:453-454	233-253;265-285;307-327;432-452	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
P08908	Q6LAE7	5HT1A_HUMAN	Extracellular:1-36;Cytoplasmic:63-73;Extracellular:99-110;Cytoplasmic:133-152;Extracellular:179-191;Cytoplasmic:218-345;Extracellular:368-378;Cytoplasmic:404-422	37-62;74-98;111-132;153-178;192-217;346-367;379-403	Cell membrane;Cell projection;Dendrite	Multi-pass membrane protein	Cell_surface:TM
A5X5Y0	A8IKD7;E9PGF1;Q495G1;Q495G3;Q6V706;Q6V707;Q7Z6B2	5HT3E_HUMAN	Extracellular:26-248;Cytoplasmic:270-282;Extracellular:304-307;Cytoplasmic:329-433;Extracellular:455-456	249-269;283-303;308-328;434-454	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
P41595	B2R9D5;Q53TI1;Q62221;Q6P523	5HT2B_HUMAN	Extracellular:1-56;Cytoplasmic:80-90;Extracellular:114-129;Cytoplasmic:152-171;Extracellular:193-216;Cytoplasmic:240-324;Extracellular:346-360;Cytoplasmic:383-481	57-79;91-113;130-151;172-192;217-239;325-345;361-382	Cell membrane;Cell junction;Synapse;Synaptosome	Multi-pass membrane protein	Cell_surface:TM
P21589	B3KQI8;O75520;Q5W116	5NTD_HUMAN			Cell membrane	Lipid-anchor;GPI-anchor	Cell_surface:Other
Q13639	C4WYH4;Q546Q1;Q684M0;Q712M9;Q96KH9;Q96KI0;Q9H199;Q9NY73;Q9UBM6;Q9UBT4;Q9UE22;Q9UE23;Q9UQR6	5HT4R_HUMAN	Extracellular:1-19;Cytoplasmic:41-58;Extracellular:80-93;Cytoplasmic:117-137;Extracellular:159-192;Cytoplasmic:214-260;Extracellular:282-294;Cytoplasmic:316-388	20-40;59-79;94-116;138-158;193-213;261-281;295-315	Cell membrane;Endosome	Multi-pass membrane protein	Cell_surface:TM
P28221		5HT1D_HUMAN	Extracellular:1-38;Cytoplasmic:65-75;Extracellular:99-112;Cytoplasmic:135-154;Extracellular:177-194;Cytoplasmic:218-302;Extracellular:327-335;Cytoplasmic:361-377	39-64;76-98;113-134;155-176;195-217;303-326;336-360	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
P47898	Q2M2D2	5HT5A_HUMAN	Extracellular:1-40;Cytoplasmic:64-78;Extracellular:100-115;Cytoplasmic:138-158;Extracellular:182-198;Cytoplasmic:220-282;Extracellular:304-320;Cytoplasmic:342-357	41-63;79-99;116-137;159-181;199-219;283-303;321-341	Cell membrane	Multi-pass membrane protein	Cell_surface:TM
